"year","state_code","long_name","name","variable","deflactor","value","valReal","poblacion","percap"
1998,16,"Michoacán de Ocampo","MICH","r33_edusuperior",7,0.48188,14.5264381173736,4160121,3.49183067448606
1998,16,"Michoacán de Ocampo","MICH","r33_fasa",500.4,0.48188,1038.43280484768,4160121,249.616009930403
1998,16,"Michoacán de Ocampo","MICH","r33_fise",71.8,0.48188,148.999750975347,4160121,35.816206061157
1998,16,"Michoacán de Ocampo","MICH","r33_fortamun",285.9,0.48188,593.301236822445,4160121,142.616341405081
1998,16,"Michoacán de Ocampo","MICH","r33_alimenticio",42.2,0.48188,87.5736697933095,4160121,21.050750637616
1998,17,"Morelos","MOR","r33_edusuperior",5,0.48188,10.3760272266954,1566306,6.62452115148345
1998,17,"Morelos","MOR","r33_edutecnologica",0,0.48188,0,1566306,0
1998,17,"Morelos","MOR","r33_multiple",61.3,0.48188,127.210093799286,1566306,81.2166293171871
1998,17,"Morelos","MOR","r33_infraeduca",30.6,0.48188,63.5012866273761,1566306,40.5420694470787
1998,17,"Morelos","MOR","r33_fis",162.6,0.48188,337.428405412136,1566306,215.429427846242
1998,17,"Morelos","MOR","r33_fortaestados",0,0.48188,0,1566306,0
1998,17,"Morelos","MOR","r33_faeb",1531,0.48188,3177.13953681414,1566306,2028.42837658423
1998,17,"Morelos","MOR","r33_fism",150.7,0.48188,312.733460612601,1566306,199.663067505711
1998,17,"Morelos","MOR","r33_fasa",269.6,0.48188,559.475388063418,1566306,357.194180487988
1998,17,"Morelos","MOR","r33_total",2131,0.48188,4422.2628040176,1566306,2823.37091476225
1998,17,"Morelos","MOR","r33_segurid",0,0.48188,0,1566306,0
1998,17,"Morelos","MOR","r33_alimenticio",25.7,0.48188,53.3327799452146,1566306,34.0500387186249
1998,17,"Morelos","MOR","r33_fortamun",106.5,0.48188,221.009379928613,1566306,141.102300526598
1998,17,"Morelos","MOR","r33_fise",11.9,0.48188,24.6949447995352,1566306,15.7663603405306
1998,18,"Nayarit","NAY","r33_segurid",0,0.48188,0,925239,0
1998,18,"Nayarit","NAY","r33_infraeduca",27.7,0.48188,57.4831908358927,925239,62.1279375770939
1998,18,"Nayarit","NAY","r33_faeb",1249.5,0.48188,2592.96920395119,925239,2802.48584846855
1998,18,"Nayarit","NAY","r33_fism",142.6,0.48188,295.924296505354,925239,319.835519801212
1998,18,"Nayarit","NAY","r33_alimenticio",21.3,0.48188,44.2018759857226,925239,47.7734682452021
1998,18,"Nayarit","NAY","r33_multiple",64.2,0.48188,133.228189590769,925239,143.993270485539
1998,18,"Nayarit","NAY","r33_fis",152.8,0.48188,317.091392047813,925239,342.712955298915
1998,18,"Nayarit","NAY","r33_edusuperior",15.2,0.48188,31.5431227691541,925239,34.0918646632428
1998,18,"Nayarit","NAY","r33_total",1741.2,0.48188,3613.34772142442,925239,3905.31281260779
1998,18,"Nayarit","NAY","r33_fortamun",66.2,0.48188,137.378600481448,925239,148.479042151755
1998,18,"Nayarit","NAY","r33_fortaestados",0,0.48188,0,925239,0
1998,18,"Nayarit","NAY","r33_fasa",208.5,0.48188,432.6803353532,925239,467.641696203035
1998,18,"Nayarit","NAY","r33_edutecnologica",0,0.48188,0,925239,0
1998,18,"Nayarit","NAY","r33_fise",10.2,0.48188,21.1670955424587,925239,22.8774354977024
1998,19,"Nuevo León","NL","r33_fortamun",262.2,0.48188,544.118867767909,3806709,142.936817016459
1998,19,"Nuevo León","NL","r33_faeb",2817.3,0.48188,5846.47630115381,3806709,1535.8348382169
1998,19,"Nuevo León","NL","r33_total",3857.3,0.48188,8004.68996430647,3806709,2102.78483706174
1998,19,"Nuevo León","NL","r33_alimenticio",42.1,0.48188,87.3661492487756,3806709,22.950572068623
1998,19,"Nuevo León","NL","r33_fism",190.7,0.48188,395.741678426164,3806709,103.959004595876
1998,19,"Nuevo León","NL","r33_multiple",113.7,0.48188,235.950859135054,3806709,61.9828989121717
1998,19,"Nuevo León","NL","r33_edutecnologica",0,0.48188,0,3806709,0
1998,19,"Nuevo León","NL","r33_segurid",0,0.48188,0,3806709,0
1998,19,"Nuevo León","NL","r33_fis",210.5,0.48188,436.830746243878,3806709,114.752860343115
1998,19,"Nuevo León","NL","r33_infraeduca",49.7,0.48188,103.137710633353,3806709,27.0936682140276
1998,19,"Nuevo León","NL","r33_fortaestados",0,0.48188,0,3806709,0
1998,19,"Nuevo León","NL","r33_edusuperior",21.9,0.48188,45.446999252926,3806709,11.9386586295212
1998,19,"Nuevo León","NL","r33_fasa",453.6,0.48188,941.313190005811,3806709,247.277422573097
1998,19,"Nuevo León","NL","r33_fise",19.8,0.48188,41.089067817714,3806709,10.7938557472384
1998,2,"Baja California","BC","r33_fism",125.9,0.48188,261.268365568191,2387650,109.424901291308
1998,2,"Baja California","BC","r33_fis",132.8,0.48188,275.587283141031,2387650,115.421976898218
1998,2,"Baja California","BC","r33_fortamun",156,0.48188,323.732049472898,2387650,135.586057199714
1998,2,"Baja California","BC","r33_fise",6.9,0.48188,14.3189175728397,2387650,5.99707560691044
1998,2,"Baja California","BC","r33_alimenticio",10.3,0.48188,21.3746160869926,2387650,8.95215634075037
1998,2,"Baja California","BC","r33_faeb",2305.9,0.48188,4785.2162364074,2387650,2004.15313651808
1998,2,"Baja California","BC","r33_segurid",0,0.48188,0,2387650,0
1998,2,"Baja California","BC","r33_edutecnologica",0,0.48188,0,2387650,0
1998,2,"Baja California","BC","r33_edusuperior",6,0.48188,12.4512326720345,2387650,5.21484835383516
1998,2,"Baja California","BC","r33_infraeduca",45.8,0.48188,95.0444093965302,2387650,39.8066757676084
1998,2,"Baja California","BC","r33_total",2982,0.48188,6188.26263800116,2387650,2591.77963185608
1998,2,"Baja California","BC","r33_fortaestados",0,0.48188,0,2387650,0
1998,2,"Baja California","BC","r33_multiple",62.1,0.48188,128.870258155557,2387650,53.973680462194
1998,2,"Baja California","BC","r33_fasa",325.2,0.48188,674.856810824272,2387650,282.644780777866
1998,20,"Oaxaca","OAX","r33_infraeduca",104.2,0.48188,216.236407404333,3623477,59.6764950914089
1998,20,"Oaxaca","OAX","r33_edusuperior",3,0.48188,6.22561633601727,3623477,1.71813325599066
1998,20,"Oaxaca","OAX","r33_fise",101.3,0.48188,210.21831161285,3623477,58.0156329439513
1998,20,"Oaxaca","OAX","r33_total",5640.2,0.48188,11704.5737528015,3623477,3230.20506347951
1998,20,"Oaxaca","OAX","r33_fis",699.2,0.48188,1450.98364738109,3623477,400.43959086289
1998,20,"Oaxaca","OAX","r33_segurid",0,0.48188,0,3623477,0
1998,20,"Oaxaca","OAX","r33_edutecnologica",0,0.48188,0,3623477,0
1998,20,"Oaxaca","OAX","r33_fortaestados",0,0.48188,0,3623477,0
1998,20,"Oaxaca","OAX","r33_alimenticio",74.1,0.48188,153.772723499626,3623477,42.4378914229693
1998,20,"Oaxaca","OAX","r33_fasa",534.7,0.48188,1109.61235162281,3623477,306.228617326068
1998,20,"Oaxaca","OAX","r33_multiple",181.3,0.48188,376.234747239977,3623477,103.832519770369
1998,20,"Oaxaca","OAX","r33_fism",597.9,0.48188,1240.76533576824,3623477,342.423957918938
1998,20,"Oaxaca","OAX","r33_fortamun",238.5,0.48188,494.936498713373,3623477,136.591593851257
1998,20,"Oaxaca","OAX","r33_faeb",3986.5,0.48188,8272.80650784428,3623477,2283.11274166892
1998,21,"Puebla","PUE","r33_faeb",3500,0.48188,7263.21905868681,5113198,1420.4846083971
1998,21,"Puebla","PUE","r33_edutecnologica",0,0.48188,0,5113198,0
1998,21,"Puebla","PUE","r33_edusuperior",7,0.48188,14.5264381173736,5113198,2.84096921679419
1998,21,"Puebla","PUE","r33_infraeduca",84.3,0.48188,174.939819042085,5113198,34.2133864251072
1998,21,"Puebla","PUE","r33_fasa",464.3,0.48188,963.517888270939,5113198,188.437429622506
1998,21,"Puebla","PUE","r33_fis",696,0.48188,1444.34298995601,5113198,282.473510698394
1998,21,"Puebla","PUE","r33_total",5156.3,0.48188,10700.3818378019,5113198,2092.69851036513
1998,21,"Puebla","PUE","r33_fise",100.7,0.48188,208.973188345646,5113198,40.8693714473107
1998,21,"Puebla","PUE","r33_alimenticio",63.2,0.48188,131.15298414543,5113198,25.649893500199
1998,21,"Puebla","PUE","r33_fortaestados",0,0.48188,0,5113198,0
1998,21,"Puebla","PUE","r33_fism",595.3,0.48188,1235.36980161036,5113198,241.604139251083
1998,21,"Puebla","PUE","r33_fortamun",341.5,0.48188,708.682659583299,5113198,138.598712505031
1998,21,"Puebla","PUE","r33_segurid",0,0.48188,0,5113198,0
1998,21,"Puebla","PUE","r33_multiple",154.5,0.48188,320.619241304889,5113198,62.7042491421003
1998,22,"Querétaro","QR","r33_alimenticio",27.9,0.48188,57.8982319249606,1495409,38.7173221004826
1998,22,"Querétaro","QR","r33_fortaestados",0,0.48188,0,1495409,0
1998,22,"Querétaro","QR","r33_infraeduca",34.1,0.48188,70.7645056860629,1495409,47.3211714561454
1998,22,"Querétaro","QR","r33_fortamun",92.4,0.48188,191.748983149332,1495409,128.225109752136
1998,22,"Querétaro","QR","r33_total",1907.1,0.48188,3957.62430480618,1495409,2646.51630744912
1998,22,"Querétaro","QR","r33_edusuperior",4,0.48188,8.30082178135635,1495409,5.55087055204051
1998,22,"Querétaro","QR","r33_edutecnologica",0,0.48188,0,1495409,0
1998,22,"Querétaro","QR","r33_fise",18.7,0.48188,38.806341827841,1495409,25.9503198307894
1998,22,"Querétaro","QR","r33_fasa",241.7,0.48188,501.577156138458,1495409,335.411353107048
1998,22,"Querétaro","QR","r33_fism",184.9,0.48188,383.705486843197,1495409,256.588991268073
1998,22,"Querétaro","QR","r33_multiple",66,0.48188,136.96355939238,1495409,91.5893641086685
1998,22,"Querétaro","QR","r33_segurid",0,0.48188,0,1495409,0
1998,22,"Querétaro","QR","r33_fis",203.6,0.48188,422.511828671038,1495409,282.539311098862
1998,22,"Querétaro","QR","r33_faeb",1303.4,0.48188,2704.82277745497,1495409,1808.7511693824
1998,23,"Quintana Roo","QROO","r33_multiple",47.8,0.48188,99.1948202872084,862418,115.019422469392
